date,season,home_team,away_team,home_pts,away_pts,home_diff,arena,lat,lon,capacity,elev_m,home_elev_m,away_elev_m,delta_elev,home_capacity,away_capacity,home_rest_days,away_rest_days,home_b2b,away_b2b,rest_delta,elo_home_pre,elo_away_pre,elo_delta_pre,elo_exp_home_win,expected_margin_neutral,residual_margin
2021-10-19,2021,Los Angeles Lakers,Golden State Warriors,114,121,-7,Crypto.com Arena,34.043055555556,-118.26722222222,19060.0,88.0,88.0,-1.0,89.0,19060.0,18000.0,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.34,-8.34
2021-10-19,2021,Los Angeles Lakers,Golden State Warriors,114,121,-7,Crypto.com Arena,34.043055555556,-118.26722222222,19060.0,88.0,88.0,-1.0,89.0,19060.0,18000.0,,0.0,False,True,3.0,1491.5872354069309,1508.4127645930691,-16.825529186138283,0.47580502852171175,0.8,-7.8
2021-10-19,2021,Los Angeles Lakers,Golden State Warriors,114,121,-7,Crypto.com Arena,34.043055555556,-118.26722222222,19060.0,88.0,88.0,-1.0,89.0,19060.0,18000.0,0.0,,True,False,-3.0,1483.6878925121691,1516.3121074878309,-32.624214975661744,0.4531874851440466,0.29,-7.29
2021-10-19,2021,Los Angeles Lakers,Golden State Warriors,114,121,-7,Crypto.com Arena,34.043055555556,-118.26722222222,19060.0,88.0,88.0,-1.0,89.0,19060.0,18000.0,0.0,0.0,True,True,0.0,1476.2567221340348,1523.7432778659652,-47.486555731930366,0.4320837345667034,-0.19,-6.81
2021-10-19,2021,Los Angeles Lakers,Golden State Warriors,114,121,-7,Crypto.com Arena,34.043055555556,-118.26722222222,19060.0,88.0,88.0,-1.0,89.0,19060.0,18000.0,,,False,False,0.0,1469.252759882277,1530.747240117723,-61.49448023544619,0.4124150263508299,-0.64,-6.36
2021-10-19,2021,Los Angeles Lakers,Golden State Warriors,114,121,-7,Crypto.com Arena,34.043055555556,-118.26722222222,19060.0,88.0,88.0,-1.0,89.0,19060.0,18000.0,,0.0,False,True,3.0,1462.6390253534225,1537.3609746465775,-74.72194929315492,0.394094306263974,-1.07,-5.93
2021-10-19,2021,Los Angeles Lakers,Golden State Warriors,114,121,-7,Crypto.com Arena,34.043055555556,-118.26722222222,19060.0,88.0,88.0,-1.0,89.0,19060.0,18000.0,0.0,,True,False,-3.0,1456.3821979719544,1543.6178020280456,-87.23560405609123,0.37703119787140316,-1.47,-5.53
2021-10-19,2021,Los Angeles Lakers,Golden State Warriors,114,121,-7,Crypto.com Arena,34.043055555556,-118.26722222222,19060.0,88.0,88.0,-1.0,89.0,19060.0,18000.0,0.0,0.0,True,True,0.0,1450.45228797271,1549.54771202729,-99.09542405457978,0.36113550740946765,-1.85,-5.15
2021-10-19,2021,Milwaukee Bucks,Brooklyn Nets,127,104,23,Fiserv Forum,43.0451,-87.9182,17341.0,183.0,183.0,14.0,169.0,17341.0,17732.0,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.34,21.66
2021-10-20,2021,Phoenix Suns,Denver Nuggets,98,110,-12,Mortgage Matchup Center,33.445833333333,-112.07138888889,19023.0,331.0,331.0,1603.0,-1272.0,19023.0,19155.0,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.34,-13.34
2021-10-20,2021,Portland Trail Blazers,Sacramento Kings,121,124,-3,Moda Center,45.531666666667,-122.66666666667,20636.0,33.0,33.0,12.0,21.0,20636.0,18500.0,,,False,False,0.0,1500.0,1500.0,0.0,0.5,1.34,-4.34
